role,level,skill,course_name,course_type,course_url,time_to_complete,project_name,project_type,project_description,certification_name,cert_provider,cert_cost
Full Stack Engineer,Junior,React,React - The Complete Guide (Academind),Paid,https://www.udemy.com/course/react-the-complete-guide-incl-redux/,48h,E-Commerce Product Catalog,Free,"Build a product listing app with cart, filters, and mock checkout using React hooks and Context API — following a guided tutorial with focus on core concepts",N/A,N/A,N/A
Full Stack Engineer,Mid,React,React - The Complete Guide (Academind),Paid,https://www.udemy.com/course/react-the-complete-guide-incl-redux/,48h,E-Commerce Product Catalog,Free,"Build a product listing app with cart, filters, and mock checkout using React hooks and Context API — independently with documentation and debugging",N/A,N/A,N/A
Full Stack Engineer,Senior,React,React - The Complete Guide (Academind),Paid,https://www.udemy.com/course/react-the-complete-guide-incl-redux/,48h,E-Commerce Product Catalog,Free,"Build a product listing app with cart, filters, and mock checkout using React hooks and Context API — with production-grade error handling, testing, and documentation",N/A,N/A,N/A
Full Stack Engineer,Lead,React,React - The Complete Guide (Academind),Paid,https://www.udemy.com/course/react-the-complete-guide-incl-redux/,48h,E-Commerce Product Catalog,Free,"Build a product listing app with cart, filters, and mock checkout using React hooks and Context API — while mentoring a peer, writing ADRs, and reviewing code",N/A,N/A,N/A
Full Stack Engineer,Junior,TypeScript,Understanding TypeScript (Academind),Paid,https://www.udemy.com/course/understanding-typescript/,22h,Type-Safe REST Client Library,Free,"Create a typed API client with generics, interfaces, and error handling for a public REST API — following a guided tutorial with focus on core concepts",N/A,N/A,N/A
Full Stack Engineer,Mid,TypeScript,Understanding TypeScript (Academind),Paid,https://www.udemy.com/course/understanding-typescript/,22h,Type-Safe REST Client Library,Free,"Create a typed API client with generics, interfaces, and error handling for a public REST API — independently with documentation and debugging",N/A,N/A,N/A
Full Stack Engineer,Senior,TypeScript,Understanding TypeScript (Academind),Paid,https://www.udemy.com/course/understanding-typescript/,22h,Type-Safe REST Client Library,Free,"Create a typed API client with generics, interfaces, and error handling for a public REST API — with production-grade error handling, testing, and documentation",N/A,N/A,N/A
Full Stack Engineer,Lead,TypeScript,Understanding TypeScript (Academind),Paid,https://www.udemy.com/course/understanding-typescript/,22h,Type-Safe REST Client Library,Free,"Create a typed API client with generics, interfaces, and error handling for a public REST API — while mentoring a peer, writing ADRs, and reviewing code",N/A,N/A,N/A
Full Stack Engineer,Junior,Next.js,Next.js & React – The Complete Guide (Maximilian Schwarzmüller),Paid,https://www.udemy.com/course/nextjs-react-the-complete-guide/,25h,Blog Platform with SSR,Free,"Build a markdown blog with SSR, dynamic routes, API routes, and image optimization using Next.js — following a guided tutorial with focus on core concepts",N/A,N/A,N/A
Full Stack Engineer,Mid,Next.js,Next.js & React – The Complete Guide (Maximilian Schwarzmüller),Paid,https://www.udemy.com/course/nextjs-react-the-complete-guide/,25h,Blog Platform with SSR,Free,"Build a markdown blog with SSR, dynamic routes, API routes, and image optimization using Next.js — independently with documentation and debugging",N/A,N/A,N/A
Full Stack Engineer,Senior,Next.js,Next.js & React – The Complete Guide (Maximilian Schwarzmüller),Paid,https://www.udemy.com/course/nextjs-react-the-complete-guide/,25h,Blog Platform with SSR,Free,"Build a markdown blog with SSR, dynamic routes, API routes, and image optimization using Next.js — with production-grade error handling, testing, and documentation",N/A,N/A,N/A
Full Stack Engineer,Lead,Next.js,Next.js & React – The Complete Guide (Maximilian Schwarzmüller),Paid,https://www.udemy.com/course/nextjs-react-the-complete-guide/,25h,Blog Platform with SSR,Free,"Build a markdown blog with SSR, dynamic routes, API routes, and image optimization using Next.js — while mentoring a peer, writing ADRs, and reviewing code",N/A,N/A,N/A
Full Stack Engineer,Junior,Node.js,The Complete Node.js Developer Course (Andrew Mead),Paid,https://www.udemy.com/course/the-complete-nodejs-developer-course-2/,35h,Task Manager REST API,Free,"Build a CRUD REST API with authentication, file upload, and email notifications using Express and MongoDB — following a guided tutorial with focus on core concepts",N/A,N/A,N/A
Full Stack Engineer,Mid,Node.js,The Complete Node.js Developer Course (Andrew Mead),Paid,https://www.udemy.com/course/the-complete-nodejs-developer-course-2/,35h,Task Manager REST API,Free,"Build a CRUD REST API with authentication, file upload, and email notifications using Express and MongoDB — independently with documentation and debugging",N/A,N/A,N/A
Full Stack Engineer,Senior,Node.js,The Complete Node.js Developer Course (Andrew Mead),Paid,https://www.udemy.com/course/the-complete-nodejs-developer-course-2/,35h,Task Manager REST API,Free,"Build a CRUD REST API with authentication, file upload, and email notifications using Express and MongoDB — with production-grade error handling, testing, and documentation",N/A,N/A,N/A
Full Stack Engineer,Lead,Node.js,The Complete Node.js Developer Course (Andrew Mead),Paid,https://www.udemy.com/course/the-complete-nodejs-developer-course-2/,35h,Task Manager REST API,Free,"Build a CRUD REST API with authentication, file upload, and email notifications using Express and MongoDB — while mentoring a peer, writing ADRs, and reviewing code",N/A,N/A,N/A
Full Stack Engineer,Junior,PostgreSQL,The Complete SQL Bootcamp (Jose Portilla),Paid,https://www.udemy.com/course/the-complete-sql-bootcamp/,9h,Rental Property Analytics DB,Free,"Design a normalized schema for a rental platform, write complex queries, window functions, and indexes — following a guided tutorial with focus on core concepts",N/A,N/A,N/A
Full Stack Engineer,Mid,PostgreSQL,The Complete SQL Bootcamp (Jose Portilla),Paid,https://www.udemy.com/course/the-complete-sql-bootcamp/,9h,Rental Property Analytics DB,Free,"Design a normalized schema for a rental platform, write complex queries, window functions, and indexes — independently with documentation and debugging",N/A,N/A,N/A
Full Stack Engineer,Senior,PostgreSQL,The Complete SQL Bootcamp (Jose Portilla),Paid,https://www.udemy.com/course/the-complete-sql-bootcamp/,9h,Rental Property Analytics DB,Free,"Design a normalized schema for a rental platform, write complex queries, window functions, and indexes — with production-grade error handling, testing, and documentation",N/A,N/A,N/A
Full Stack Engineer,Lead,PostgreSQL,The Complete SQL Bootcamp (Jose Portilla),Paid,https://www.udemy.com/course/the-complete-sql-bootcamp/,9h,Rental Property Analytics DB,Free,"Design a normalized schema for a rental platform, write complex queries, window functions, and indexes — while mentoring a peer, writing ADRs, and reviewing code",N/A,N/A,N/A
